date,nasdaq,PIH,FLWS,FCCY,SRCE,FUBC,VNET,TWOU,DGLD,JOBS,EGHT,AAON,DOX,UHAL,MTGE,CRMT,FOLD,BCOM,BOSC,CFFI,CHRW,KOOL,PLCE,JRJC,CHOP,HGSH,HTHT,IMOS,DJCO,SATS,WATT,INBK,FTLB,QABA,GOOG,oil_price,tbonds_rate,sp500
2007-12-20,2640.860107,,8.9500,7.6362,12.0800,,,,,9.5250,0.9300,5.2100,30.1651,62.3282,,12.9700,9.5400,7.4952,42.0000,19.4632,40.7048,1352.0000,24.7908,205.0000,5.5500,,,14.4506,41.2500,,,8.1369,,,,87.36,4.04,1460.1200
2007-12-21,2691.98999,,8.9400,7.4259,12.1397,,,,,9.4250,0.9200,5.4802,30.0663,64.7115,,12.7500,10.7100,7.5971,41.0000,19.4632,41.5119,1416.0000,25.1477,210.0000,5.5500,,,14.2143,41.2500,,,8.1369,,,,87.73,4.18,1484.4600
2007-12-24,2713.5,,9.0600,7.4522,12.0800,,,,,9.6300,0.9100,5.7035,30.4612,65.6302,,12.9500,10.7700,7.7650,45.0000,19.1678,41.5888,1408.0000,25.5412,217.9000,5.5500,,,14.5181,41.2500,,,8.1369,,,,87.86,4.23,1496.4500
2007-12-26,2724.409912,,8.8300,8.0934,12.6906,,,,,9.7200,0.8900,5.4828,30.4971,66.4580,,12.5000,10.5700,7.7290,42.0000,19.8842,41.8886,1384.0000,25.0379,237.5000,5.5500,,,14.3831,41.2500,,,8.1369,,,,89.44,4.3,1497.6600
2007-12-27,2676.790039,,8.7000,7.7518,11.7415,,,,,9.3700,0.8600,5.2568,30.2099,61.5823,,13.0600,10.2500,7.4652,39.2000,19.9911,41.3351,1360.0000,24.1044,234.0000,5.5500,,,14.0792,41.2500,,,8.2290,,,,90.29,4.21,1476.2700
2007-12-28,2674.459961,,8.6800,8.1669,11.4096,,,,,8.9800,0.8600,5.2802,30.5689,62.3919,,12.8200,10.4900,7.5612,39.8000,19.4819,41.5273,1296.0000,23.5645,231.6000,5.5500,,,13.8766,41.2500,,,8.2904,,,,90.84,4.11,1478.4900
2007-12-31,2652.280029,,8.7300,8.4087,11.4892,,,,,9.0100,0.8900,5.1477,30.9369,59.7449,,12.5500,10.7500,7.7710,38.0000,19.0107,41.6042,1264.0000,23.7292,219.0000,5.5500,,,14.3831,41.2500,,,8.3518,,,,90.7,4.04,1468.3600
2008-01-02,2609.6298829999996,,8.0200,8.4087,10.9251,,,,,9.1250,1.0095,4.8776,30.5241,57.3980,,12.2600,10.3400,7.6451,38.0000,19.9471,39.8822,1384.0000,22.7501,206.5000,5.5500,,,13.8429,41.2500,16.5803,,8.3518,,,,91.82,3.91,1447.1600
2008-01-03,2602.679932,,7.6300,8.4087,11.0047,,,,,9.1000,1.0200,4.6776,30.0933,55.9335,,12.1300,10.1400,7.6571,38.0000,20.1105,39.9360,1344.0000,22.0820,203.4000,5.5500,,,13.1676,41.2500,18.0608,,8.3518,,,,93.67,3.91,1447.1600
2008-01-04,2504.649902,,7.1600,8.4087,10.7525,,,,,9.0050,1.0200,4.5763,29.1599,54.6509,,11.7100,10.0700,7.4208,38.0000,20.2173,38.4139,1240.0000,21.1669,186.0000,5.5500,,,12.4586,41.2500,17.9336,,8.3518,,,,93.38,3.88,1411.6300
2008-01-07,2499.459961,,6.9900,8.4560,11.3698,,,,,9.1500,1.0100,4.7477,28.1457,56.9978,,11.6400,10.5900,7.5851,38.0000,19.4003,38.9136,1224.0000,21.1211,181.5000,5.5500,,,12.4923,41.2500,17.1654,,8.3518,,,,91.72,3.86,1416.1801
2008-01-08,2440.51001,,6.5900,8.0618,10.3675,,,,,8.7350,1.0200,4.5555,27.8046,54.5235,,11.4000,10.5600,7.3753,38.0000,19.9156,36.4075,1120.0000,20.2792,176.0750,5.5500,,,12.1885,41.2500,16.2802,,8.3518,,,,91.67,3.86,1390.1899
2008-01-09,2474.550049,,6.8000,8.5086,11.1640,,,,,8.6050,1.0100,4.7062,27.3379,57.3525,,11.2800,10.8000,7.5312,39.0000,19.2558,36.9687,1200.0000,20.0230,179.9000,5.5500,,,12.2222,39.0000,16.3819,,8.2597,,,,91.98,3.82,1409.1300
2008-01-10,2488.52002,,6.6600,7.9672,11.2171,,,,,8.8700,1.0000,4.6620,29.9407,60.8182,,11.1400,10.7500,7.3924,39.0000,20.2299,37.2301,1568.0000,17.3966,193.5000,5.5700,,,12.3235,40.2500,15.7307,,8.2904,,,,89.71,3.91,1420.3300
2008-01-11,2439.939941,,6.6000,8.1302,10.6065,,,,,8.6700,0.9800,4.3633,29.6535,57.1615,,10.9000,11.0000,7.0695,41.0000,20.2299,36.4767,1592.0000,15.4931,181.3000,5.5700,,,12.1210,40.2500,15.9749,,8.2904,,,,88.36,3.82,1401.0200
2008-01-14,2478.300049,,6.8700,8.1459,11.0114,,,,,8.9100,0.9900,4.5452,29.5458,61.3640,,11.0300,10.9000,7.2014,38.8000,20.1042,37.1762,1632.0000,15.6944,180.0000,5.5700,,,12.5261,39.5200,15.3644,,8.2904,,,,88.51,3.81,1416.2500
2008-01-15,2417.590088,,6.8100,8.1459,10.6131,,,,,8.6000,1.1000,4.3997,29.6086,59.9905,,10.9200,10.5200,7.0515,40.0000,19.5197,36.7688,1600.0000,14.6878,162.2000,5.5700,,,11.8846,39.5200,15.2118,,8.2904,,,,88.33,3.72,1380.9500
2008-01-16,2394.590088,,7.0600,8.1459,11.3167,,,,,8.8250,1.0700,4.3971,28.8098,61.5641,,10.8700,10.6500,7.2494,39.8000,19.3563,37.6682,1600.0000,14.9806,144.5000,5.5600,,,11.9859,39.5200,15.0083,,8.1369,,,,86.28,3.74,1373.2000
2008-01-17,2346.899902,,6.7600,7.4785,10.8322,,,,,8.1800,1.1400,4.1971,28.3521,59.7630,,10.9900,10.7400,6.9915,39.8000,19.3563,36.4152,1584.0000,14.5963,129.4000,5.5600,,,11.6483,39.5200,14.7336,,8.1369,,,,86.14,3.66,1333.2500
2008-01-18,2340.02002,,6.7400,8.3561,10.3808,,,,,8.6900,1.1300,4.1244,28.4329,60.3998,,11.0100,10.7100,7.2074,39.8000,19.3563,37.3300,1472.0000,14.3309,126.8000,5.5600,,,11.5807,44.0000,14.6318,,8.1369,,,,85.91,3.66,1325.1899
2008-01-22,2292.27002,,6.6500,8.3561,10.8587,,,,,8.2100,1.0700,4.3659,27.7777,60.8910,,10.3000,10.6600,7.0575,39.4000,19.3564,36.4536,1400.0000,14.3034,122.0000,5.5600,,,11.3613,44.0000,14.6115,,7.8605,,,,83.7,3.52,1310.5000
